OID_,Latitude,Longitude,Altitude_ft_asl,Aerosol_Type,Altitude_km_AGL
153,46.846885574640702,-115.730934406947796,4.810000000000000,5,3.9736080
154,46.849809605596199,-115.732050838109217,4.810000000000000,5,4.0309954
155,46.852731696561129,-115.733167185302591,4.810000000000000,5,4.0968924
156,46.855652475093670,-115.734283711234980,4.810000000000000,5,4.1705127
157,46.858572568752017,-115.735400678613402,4.810000000000000,5,4.2174478
158,46.861492605094305,-115.736518350144863,4.810000000000000,5,4.3067441
159,46.864413211678766,-115.737636988536408,4.810000000000000,5,4.3208723
160,46.867335016063549,-115.738756856495073,4.810000000000000,5,4.2111158
161,46.870258645806821,-115.739878216727831,4.810000000000000,5,4.1505380
162,46.873184728466768,-115.741001331941703,4.810000000000000,5,4.0354848
163,46.876113891601570,-115.742126464843764,4.810000000000000,5,4.0094233
164,46.879046603729059,-115.743253796192008,4.810000000000000,5,4.0007749
165,46.881982697205927,-115.744383178948851,4.810000000000000,5,3.8873839
166,46.884921845348451,-115.745514384127546,4.810000000000000,5,3.8260999
167,46.887863721472947,-115.746647182741484,4.810000000000000,5,3.6369872
168,46.890807998895767,-115.747781345804071,4.810000000000000,5,3.4926429
169,46.893754350933207,-115.748916644328659,4.810000000000000,5,3.3330975
170,46.896702450901593,-115.750052849328526,4.810000000000000,5,3.2130115
171,46.899651972117233,-115.751189731817135,4.810000000000000,5,3.2922447
172,46.902602587896475,-115.752327062807780,4.810000000000000,5,3.3912461
173,46.905553971555598,-115.753464613313795,4.810000000000000,5,3.4642420
174,46.908505796410964,-115.754602154348632,4.810000000000000,5,3.5576437
175,46.911457735778882,-115.755739456925639,4.810000000000000,5,3.8553536
176,46.914409462975662,-115.756876292058109,4.810000000000000,5,4.0348625
177,46.917360651317615,-115.758012430759408,2.830000000000000,5,2.1443946
178,46.920310974121101,-115.759147644042969,2.830000000000000,5,2.1102848
179,46.923260176271896,-115.760281730150012,2.830000000000000,5,1.9957790
180,46.926208288933942,-115.761414596233706,4.810000000000000,5,3.7502203
181,46.929155414840615,-115.762546176675016,4.810000000000000,5,3.6118450
182,46.932101656725301,-115.763676405854980,4.810000000000000,5,3.5496576
183,46.935047117321432,-115.764805218154677,4.810000000000000,5,3.4425020
184,46.937991899362409,-115.765932547955131,4.810000000000000,5,3.4228592
